method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.1159118766224998,-0.20096126647623772,-0.03984378185170324,5089,21,25,station_x_block,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.0848647324498723,-0.1395871780976354,-0.041937927977534845,5089,21,25,station_x_block,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.01614589006378464,-0.08215171500109476,0.03785693899811562,5089,21,25,station_x_block,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.09532209411877868,-0.17242310266256342,-0.033092088576673465,4852,20,25,station_x_block,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.071153758546455,-0.11326894192727338,-0.038276919515670776,4852,20,25,station_x_block,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.020950972775061836,-0.08140461158595699,0.029449461612732968,4852,20,25,station_x_block,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.09127028259115655,-0.18870068057103165,0.0043943325378553895,2394,10,25,station_x_block,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.07756190157539694,-0.1416702756150616,-0.019467295867320628,2394,10,25,station_x_block,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,-0.002440825854845459,-0.08841361803229607,0.0699202995348645,2394,10,25,station_x_block,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.1270154741031302,-0.23501218269320123,-0.046319203800838614,2458,10,25,station_x_block,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.06491246708539461,-0.104213395095622,-0.034304067872044784,2458,10,25,station_x_block,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.03897916306269325,-0.09660816428234992,0.0011852748999093402,2458,10,25,station_x_block,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.0228238742409253,-0.03454381303455526,-0.011653217768285791,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.023485282973006394,-0.035339048575106606,-0.010809940279103628,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,-0.01596125008490354,-0.03957269820248737,0.008210544318634258,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.01810549412795537,-0.02774012297862012,-0.00937781766072646,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.02053097089971538,-0.03217598910434412,-0.008885879347248458,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,-0.020887888811090015,-0.044678670628307146,0.0033656316447878316,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.01817738490790552,-0.03216965899165639,-0.005278305712980863,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.020580296913398882,-0.037961841913523434,-0.003442482020161482,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
FULL_ID|log1p|uniform|permissive|2km_exact,PM_XGB|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,-0.0036505857765539024,-0.04539590500573758,0.034739221721462,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69
