eoi,year,observed,prediction,n,n_sampled,stratum,method,protocol
SK0002A,2024,0.48551416666666664,0.4609460071333333,120,120,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0002A,2025,0.3338931297709924,0.39440355316793896,131,131,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0004R,2024,0.2383132530120482,0.23066161400000001,166,166,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0004R,2025,0.23638787878787879,0.26605735161515154,165,165,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0006R,2024,0.2191146551724138,0.24415877692241378,116,116,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0006R,2025,0.30306722689075627,0.2426621378907563,119,119,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0008A,2024,1.7399993589743592,1.7627750077884616,156,156,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0008A,2025,1.419208,1.40688445912,125,125,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0018A,2024,6.173277118644068,4.950707317966102,118,118,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0018A,2025,5.750974789915967,4.497580378739496,119,119,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0020A,2024,1.3145647540983607,1.3706332024590164,122,122,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0020A,2025,1.554148514851485,1.4001845968415843,101,101,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0025A,2024,3.4843,3.4848974743305785,121,121,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0025A,2025,2.374333333333333,2.169763253605263,114,114,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0039A,2024,1.0412450381679388,1.0434028720458015,131,131,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0039A,2025,1.1465474860335196,1.1304797235921786,179,179,higher,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0045A,2024,0.5517336538461538,0.4890255042788461,104,104,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0045A,2025,0.4586486486486486,0.5009460095,74,74,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0048A,2024,0.19027164179104478,0.18506251249179106,134,134,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
SK0048A,2025,0.19674789915966387,0.261638804492437,119,119,lower,FULL_ID|log1p|uniform|permissive|2km_exact,block30
