method,protocol,estimand,support,period,scope,n,n_stations,RMSE,MAE,bias,agreement_R2
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,all_period,all_network,6462,21,1.4443738741336651,0.4784635430774374,-0.11688181324432063,0.6984251903409173
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,all_period,nonindustrial,6150,20,0.8397312617336323,0.33892531064331705,-0.059906290747121956,0.836025734515984
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,all_period,industrial_descriptive,312,1,5.41379506614347,3.228976778557693,-1.2399570163141025,0.22679482280644747
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,0.96313187312662,0.49265088613475366,-0.0440358767663325,0.8542074726209576
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.38072427069209136,0.16640515462790884,0.004752824501464607,0.7360355646457493
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.3585779482305553,0.4652142645847907,-0.0760771502778542,0.713330845645187
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.7287832974255112,0.32737635850824404,-0.01931975398887057,0.8605489065440999
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,5.362757012517605,3.28711097464135,-1.238047136751055,0.2312719382864884
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,0.96313187312662,0.49265088613475366,-0.0440358767663325,0.8542074726209576
FULL_ID|log1p|uniform|permissive|2km_exact,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial_lower,2458,10,0.38072427069209136,0.16640515462790884,0.004752824501464607,0.7360355646457493
FULL_ID|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,all_network,42,21,0.2815798058750763,0.1188448465230503,-0.08092845529583381,0.9518363001781269
FULL_ID|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial,40,20,0.08129996766926545,0.0628879835528419,-0.023075772764264584,0.9888903527500453
FULL_ID|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,industrial_descriptive,2,1,1.2380780402499216,1.2379821059272182,-1.2379821059272182,-33.38025392346273
FULL_ID|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_higher,20,10,0.10163580241656994,0.08332464906366806,-0.04945561240196808,0.9686252015276787
FULL_ID|log1p|uniform|permissive|2km_exact,block30,sampled_date_station_year_mean,all_sampled_dates,primary_2024_2025,nonindustrial_lower,20,10,0.05375437799088716,0.042451318042015754,0.00330406687343891,0.9381650795694223
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,all_network,6462,21,1.4778279771084148,0.5433923633505194,0.051509391000207995,0.6842934576248103
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,nonindustrial,6150,20,0.8620027615663367,0.3928806777204969,0.06503167995989333,0.8272124823205015
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,industrial_descriptive,312,1,5.530538758282252,3.5102092435576915,-0.2150357279166665,0.19308830524823173
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,nonindustrial_higher,2394,10,1.0803307697705091,0.5694428586725981,0.1309651978278195,0.8165670942978462
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,all_period,nonindustrial_lower,2458,10,0.47686968296975824,0.23038802755296584,0.09051354242246135,0.5858823734104356
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,all_network,5089,21,1.4291330257493173,0.5427285734304167,0.09413234410968954,0.6827824883664427
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial,4852,20,0.8313014142815193,0.39767930242938787,0.11047258262040603,0.8185561964670045
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,industrial_descriptive,237,1,5.4505248804270225,3.5122604843881855,-0.24039439535864973,0.2059037431766445
G_PLUS_P|identity|uniform|permissive|500m,block30,daily,all_expected_targets,primary_2024_2025,nonindustrial_higher,2394,10,1.0803307697705091,0.5694428586725981,0.1309651978278195,0.8165670942978462
