method_a,method_b,protocol,estimand,support,scope,period,metric,units,direction,estimate,ci_low,ci_high,n,n_stations,n_blocks,resampling,seed,replicates,support_sha256,n_station_years,n_reconstructions
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.03108710180624108,-0.2525280386613202,0.05774609871934489,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.06457310189757304,-0.13337348792455186,0.002114362278043734,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,0.02134546746408919,-0.09696610089209953,0.16523251097608363,5089,21,1,station,20260921,2000,49422f1082065a9d47ebdfaf52caf564b1c3e1dad3fba927ae8da3a978f385a0,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.17150173151541348,-0.2752708883594704,-0.0557014736862186,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.08220605815056892,-0.1440901151467651,-0.02304621265948432,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,0.04109393902196207,-0.07662420617232034,0.1768055966787769,4852,20,1,station,20260921,2000,5d1137882eec8537744050437f9ce1b569790644db3bdcfe69d5597e07b2e781,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.1844721796377271,-0.33082144336575103,-0.018665757363014936,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.10009182061737687,-0.18644202249047268,-0.022793204206468378,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial_higher,primary_2024_2025,bias,ng m-3,a_minus_b,0.1683955735538848,-0.042588095896962164,0.3881873794017302,2394,10,1,station,20260921,2000,62f59d22b59dd9d7e2e072c7b3fe63144e2f3e8824a30706c4074510f362197d,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.1656916237246201,-0.3197740970780826,-0.003255310137212333,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.064785994950594,-0.14886042524242346,0.02866571377093874,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af,,
G_PLUS_P,P_CAL,loso,daily,all_expected_targets,nonindustrial_lower,primary_2024_2025,bias,ng m-3,a_minus_b,-0.08289308826421479,-0.17113642883997404,0.0028356758514643814,2458,10,1,station,20260921,2000,b29a851546d291a0d2f7dfae9c12846445d0e09a394514e7c02a871b374d99af,,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,RMSE,ng m-3,a_minus_b,0.05277022589759772,-0.182257919808418,0.13417100685928898,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52,42.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.03234554783884347,-0.13472211462279887,0.06664981857257757,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52,42.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,all_network,primary_2024_2025,bias,ng m-3,a_minus_b,0.011918443849193161,-0.10334243344135774,0.14884840746967357,42,21,1,station,20260921,2000,a4b83f112a2a39d7bb39c1c70c56f5678dc7ac9449f27af54e02cbafaafd9a52,42.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.0941903931327226,-0.21939841927796067,0.03069697686686097,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df,40.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.05311698818927829,-0.15705426972654193,0.04272375268282487,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df,40.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial,primary_2024_2025,bias,ng m-3,a_minus_b,0.031668529000145634,-0.08188970756476899,0.1601045681560573,40,20,1,station,20260921,2000,75f77a11b57c142012fafa94a0442f20d6ba5eff6db77fdddfbfa204481e78df,40.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,RMSE,ng m-3,a_minus_b,-0.1487575474655169,-0.319634840510835,0.04704670691902562,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69,20.0,
G_PLUS_P,P_CAL,loso,sampled_date_station_year_mean,all_sampled_dates,nonindustrial_higher,primary_2024_2025,MAE,ng m-3,a_minus_b,-0.09012355382254489,-0.24650909947150795,0.061162946867008176,20,10,1,station,20260921,2000,54d313e95dc309aa2e8ef845fd41708208c653e62ac636636faccd8f7f1e8a69,20.0,
