eoi,year,observed,prediction,n_obs,n_sampled,stratum,method
SK0002A,2024,0.48551416666666664,0.5188570293625,120,120,lower,G
SK0002A,2025,0.3338931297709924,0.44938787770992367,131,131,lower,G
SK0004R,2024,0.2383132530120482,0.39535016292469877,166,166,lower,G
SK0004R,2025,0.23638787878787879,0.4417890064309091,165,165,lower,G
SK0006R,2024,0.2191146551724138,0.4829456388836207,116,116,lower,G
SK0006R,2025,0.30306722689075627,0.5028081389495799,119,119,lower,G
SK0008A,2024,1.7399993589743592,2.1179814452564103,156,156,higher,G
SK0008A,2025,1.419208,1.76938484176,125,125,higher,G
SK0018A,2024,6.173277118644068,1.1863674548644068,118,118,higher,G
SK0018A,2025,5.750974789915967,1.2735345284957982,119,119,higher,G
SK0020A,2024,1.3145647540983607,0.8572305922377049,122,122,higher,G
SK0020A,2025,1.554148514851485,0.9742660329485148,101,101,higher,G
SK0025A,2024,3.4843,2.4295390903305782,121,121,higher,G
SK0025A,2025,2.374333333333333,1.8047542841929824,114,114,higher,G
SK0039A,2024,1.0412450381679388,1.2820659544007633,131,131,higher,G
SK0039A,2025,1.1465474860335196,1.35131031094581,179,179,higher,G
SK0045A,2024,0.5517336538461538,1.411012935769231,104,104,lower,G
SK0045A,2025,0.4586486486486486,1.432797238783784,74,74,lower,G
SK0048A,2024,0.19027164179104478,2.7221041082835824,134,134,lower,G
SK0048A,2025,0.19674789915966387,2.660327863865546,119,119,lower,G
SK0050A,2024,0.9373400000000001,0.9561543914181818,165,165,lower,G
SK0050A,2025,0.855475,0.92936494485,120,120,lower,G
SK0061A,2024,0.3596550458715596,0.3777166337522936,109,109,lower,G
SK0061A,2025,0.28588617886178863,0.35556741658943086,123,123,lower,G
SK0066A,2024,1.408934328358209,1.0465365756082088,134,134,higher,G
SK0066A,2025,1.2047874015748032,0.9190498079133859,127,127,higher,G
SK0070A,2024,2.183129166666667,2.8031115440625,96,96,higher,G
SK0070A,2025,1.8754318181818184,2.5125284120454547,88,88,higher,G
SK0071A,2024,2.0584204918032785,1.9400202189836064,122,122,higher,G
SK0071A,2025,1.5632685185185184,1.7365806595,108,108,higher,G
SK0076A,2024,0.49729646017699114,1.8700089018584072,113,113,lower,G
SK0076A,2025,0.39205555555555555,2.0212792962037036,108,108,lower,G
SK0078A,2024,2.155560344827586,1.9985697066379309,116,116,higher,G
SK0078A,2025,2.0732371134020617,1.9620860754639176,97,97,higher,G
SK0214A,2024,1.0126264462809917,0.6909457832809917,121,121,higher,G
SK0214A,2025,1.1335981308411216,0.6992768772,107,107,higher,G
SK0263A,2024,0.7357486725663717,0.7261338766106195,113,113,lower,G
SK0263A,2025,0.7383177570093458,0.6475693285700935,107,107,lower,G
SK0265A,2024,1.7921026785714285,0.8391145075285714,112,112,higher,G
SK0265A,2025,1.9814957264957265,0.9943229450743589,117,117,higher,G
SK0269A,2024,0.5201866071428571,0.4660299111875,112,112,lower,G
SK0269A,2025,0.46375714285714287,0.38920844871428567,140,140,lower,G
SK0002A,2024,0.48551416666666664,0.6927199626308334,120,120,lower,G_PLUS_P
SK0002A,2025,0.3338931297709924,0.5175694760381679,131,131,lower,G_PLUS_P
SK0004R,2024,0.2383132530120482,0.45474781956626503,166,166,lower,G_PLUS_P
SK0004R,2025,0.23638787878787879,0.5174774064052121,165,165,lower,G_PLUS_P
SK0006R,2024,0.2191146551724138,0.4731781485741379,116,116,lower,G_PLUS_P
SK0006R,2025,0.30306722689075627,0.48506015888235293,119,119,lower,G_PLUS_P
SK0008A,2024,1.7399993589743592,2.0752608778269233,156,156,higher,G_PLUS_P
SK0008A,2025,1.419208,1.677138058168,125,125,higher,G_PLUS_P
SK0018A,2024,6.173277118644068,0.6943903922657627,118,118,higher,G_PLUS_P
SK0018A,2025,5.750974789915967,0.7795567666204202,119,119,higher,G_PLUS_P
SK0020A,2024,1.3145647540983607,0.9853071449672132,122,122,higher,G_PLUS_P
SK0020A,2025,1.554148514851485,1.1002016016633662,101,101,higher,G_PLUS_P
SK0025A,2024,3.4843,2.980483855305785,121,121,higher,G_PLUS_P
SK0025A,2025,2.374333333333333,2.117851683850877,114,114,higher,G_PLUS_P
SK0039A,2024,1.0412450381679388,1.237463189793893,131,131,higher,G_PLUS_P
SK0039A,2025,1.1465474860335196,1.4454382573519553,179,179,higher,G_PLUS_P
SK0045A,2024,0.5517336538461538,0.48572088819230774,104,104,lower,G_PLUS_P
SK0045A,2025,0.4586486486486486,0.43945128189189187,74,74,lower,G_PLUS_P
SK0048A,2024,0.19027164179104478,0.7263441529179104,134,134,lower,G_PLUS_P
SK0048A,2025,0.19674789915966387,0.8347200229327731,119,119,lower,G_PLUS_P
SK0050A,2024,0.9373400000000001,0.8487317222909091,165,165,lower,G_PLUS_P
SK0050A,2025,0.855475,0.7936216037916667,120,120,lower,G_PLUS_P
SK0061A,2024,0.3596550458715596,0.4954627260963303,109,109,lower,G_PLUS_P
SK0061A,2025,0.28588617886178863,0.49550322688617887,123,123,lower,G_PLUS_P
SK0066A,2024,1.408934328358209,1.2262930970597015,134,134,higher,G_PLUS_P
SK0066A,2025,1.2047874015748032,0.9230867828582677,127,127,higher,G_PLUS_P
SK0070A,2024,2.183129166666667,2.042772560770833,96,96,higher,G_PLUS_P
SK0070A,2025,1.8754318181818184,1.6058785792045454,88,88,higher,G_PLUS_P
SK0071A,2024,2.0584204918032785,1.9241504371065574,122,122,higher,G_PLUS_P
SK0071A,2025,1.5632685185185184,1.4334804274814814,108,108,higher,G_PLUS_P
SK0076A,2024,0.49729646017699114,0.2403229825115044,113,113,lower,G_PLUS_P
SK0076A,2025,0.39205555555555555,1.0498010687962962,108,108,lower,G_PLUS_P
SK0078A,2024,2.155560344827586,1.861475972551724,116,116,higher,G_PLUS_P
SK0078A,2025,2.0732371134020617,1.751917784041237,97,97,higher,G_PLUS_P
SK0214A,2024,1.0126264462809917,0.9892820649793389,121,121,higher,G_PLUS_P
SK0214A,2025,1.1335981308411216,0.9470763996682243,107,107,higher,G_PLUS_P
SK0263A,2024,0.7357486725663717,0.6764721850442478,113,113,lower,G_PLUS_P
SK0263A,2025,0.7383177570093458,0.5963643446168224,107,107,lower,G_PLUS_P
SK0265A,2024,1.7921026785714285,1.274947003375,112,112,higher,G_PLUS_P
SK0265A,2025,1.9814957264957265,1.3636984879316238,117,117,higher,G_PLUS_P
SK0269A,2024,0.5201866071428571,0.47384186823214286,112,112,lower,G_PLUS_P
SK0269A,2025,0.46375714285714287,0.4270818428428571,140,140,lower,G_PLUS_P
SK0002A,2024,0.48551416666666664,1.0766913850583333,120,120,lower,P_CAL
SK0002A,2025,0.3338931297709924,0.739445403557252,131,131,lower,P_CAL
SK0004R,2024,0.2383132530120482,0.46402175698795184,166,166,lower,P_CAL
SK0004R,2025,0.23638787878787879,0.5257588830969697,165,165,lower,P_CAL
SK0006R,2024,0.2191146551724138,0.3998567017758621,116,116,lower,P_CAL
SK0006R,2025,0.30306722689075627,0.3911401521848739,119,119,lower,P_CAL
SK0008A,2024,1.7399993589743592,1.1277517468141025,156,156,higher,P_CAL
SK0008A,2025,1.419208,0.9785854896559999,125,125,higher,P_CAL
SK0018A,2024,6.173277118644068,1.1074978648813558,118,118,higher,P_CAL
SK0018A,2025,5.750974789915967,1.1326158123445378,119,119,higher,P_CAL
SK0020A,2024,1.3145647540983607,1.1181630743278688,122,122,higher,P_CAL
SK0020A,2025,1.554148514851485,1.2545487037524752,101,101,higher,P_CAL
SK0025A,2024,3.4843,2.232455670628099,121,121,higher,P_CAL
SK0025A,2025,2.374333333333333,1.7287667432807017,114,114,higher,P_CAL
SK0039A,2024,1.0412450381679388,1.2148613789770992,131,131,higher,P_CAL
SK0039A,2025,1.1465474860335196,1.2892439174022348,179,179,higher,P_CAL
SK0045A,2024,0.5517336538461538,0.8655259547884615,104,104,lower,P_CAL
SK0045A,2025,0.4586486486486486,0.5358745036486486,74,74,lower,P_CAL
SK0048A,2024,0.19027164179104478,0.7213924284328358,134,134,lower,P_CAL
SK0048A,2025,0.19674789915966387,0.89230668602521,119,119,lower,P_CAL
SK0050A,2024,0.9373400000000001,0.9540917191030303,165,165,lower,P_CAL
SK0050A,2025,0.855475,0.8061625757166666,120,120,lower,P_CAL
SK0061A,2024,0.3596550458715596,0.6912213444678899,109,109,lower,P_CAL
SK0061A,2025,0.28588617886178863,0.6911800961056911,123,123,lower,P_CAL
SK0066A,2024,1.408934328358209,1.451534362119403,134,134,higher,P_CAL
